,date,star_group,text,sentiment
7,2025-03-30,1,bunch clown thief itas funny ronald hamburglar mascot bunch clown thief missing item uber app declined kind refund item missing lost customer,Negative
8,2025-03-30,1,appalling company appalling company delivery always cold delivered item missing contacting uber simply care youare cold u family thereas burger king across always hot delivered never conning scumbags,Negative
9,2025-03-22,1,go want month meal tasty although unhealthy,Negative
10,2025-03-30,1,mcdonals vile burgurs app time changed twice colda come happy meal completea raised believe refund adequate left people without actiona provided full refund still get ordereda fu king shocking multi million franchise get correct leave hungry without solution,Negative
11,2025-03-29,1,bad use uber anda delivery completely wrong arrived customer service refunded full said reorder redeliver eat turned unfortunately turned stone cold inedible went bin,Negative
12,2025-03-29,1,app worst thing iave ever done problem reference number customer service jahirul problem foodfortoughts voucher franchise far worst customer service ever seen life also use foodfortoughts campaign scam customer voucher work questioned issue online customer service ectremely unfriendly dismissive need mention loyal customer accepted tone mistake problem store online enough enough fed horrible practice report finding authority investigation,Negative
13,2025-03-29,1,delivery local wessex gate retail terrible using eat placed waited hour meal finally arrived stone cold took meal back restaurant told problem great customer service canat get est ask hour wait refund aps meal cost aps aware use service also meal presentation awful meal thrown box bag,Negative
14,2025-03-27,1,worst customer service uk went darlington yesterday cheeseburger fry cheeseburger luke warm chip cold thing nice banana milkshake drawback use paper straw instead plastic straw never going,Negative
15,2025-02-25,1,full liar wait minute fry,Negative
16,2025-03-27,1,time waster new inn pontypool ordering via app become total waste time arrive point told item missing actually give code already given nt recognised get shouted staff code clearly given shown screen recognised staff end driving away like previously absolutely fuming shit app shit staff shit company,Negative
17,2025-03-27,1,macdonalds trying trick public bought fillet fish surpriseda bought fillet fish surprised opened looked thrown together box smallest amount cheese missed bun completely videod marked bun pen process took back received apology told would make fresh one course received fillet fish tiny bit cheese placed bun would pull apart see cheese existed pleased marked bun stupid idiotic team working fool u send video standard agency complaint procedure pointless speaking macdonalds well done prenton macd really poor job,Negative
18,2025-03-19,1,really believe people sita really believe people sit wait rubbish live minute drive away one always cold wrong hugely priced rated,Negative
19,2025-03-26,1,leatherhead awful leatherhead shocking shortage staff preparing collect board working rubbish leftover vacated table minute wait nugget happy meal cheeseburger chased minute saw member staff packed restaurant felt really sorry much pressure everyone complaining shame,Negative
20,2025-03-26,1,hot drink served lukewarm appears stanier retail park kettering store problem hot water drive service drink past week luke warm upon enquiring told awaiting service working machine also told customer questioned also behind outlet new costa coffee shortly open certainly good time store failing,Negative
21,2025-03-25,1,muffin cheese egg got muffin cheese egg got cheese said driver itas wrong iam done getting refund realised still get charged aps delivery plus vat breakfast orange juice small cake good job greggs time mc donaldas disgrace phoned thought would send fresh said interested getting money fast fast fast done deserve star,Negative
22,2025-03-23,1,terrible bradley stokea new advert state burger hotter joke third time luke warm must know dishing really excuse dining dreadful,Negative
23,2025-01-18,1,butt ln butt ln farnley leeds l je poor customer service double espresso got served cold double espresso hand burger itas seems like get prepared two year old kid poor preparation service need send undercover sort thing thatas around area deserve better service,Negative
24,2025-03-23,1,charge extra without consumersa charge extra without consumer knowledge reported trading standard today,Negative
25,2025-03-24,1,uk menu booooooooooooooooooring uk menu booooooooooooooooooring seen country menu whoever decides uk menu need removed boooooooooooooooorrrrring,Negative
26,2025-02-26,1,delivery bad pad rotten posonus bad kill sad bap slavery service good,Negative
27,2025-03-23,1,place line incorrect line double quarter pounder asked cheese iam allergic cheese cause upset stomach fur day arrived cheese awful couldnat eat burger total waste money image ticket state cheese ignored,Negative
28,2025-03-23,1,called avoidutside thea called outside south terminal gatwick airport waited minute still arrive ask money back hesitated eventually gave back avoid like plague worst country,Negative
29,2025-03-23,1,put business people put business people aps early morning hash brown raw sandwich came raw bacon every venue go,Negative
30,2025-03-22,1,poor poor poor poor poor poor say delivered phoned driver got abused driver phone told driver responsible help called uber message saying contact vendor really bad customer service would never ever talk customer way spoken tonight customer service existent getting bad reputation,Negative
31,2025-03-21,1,like rubber disappointed drive friern barnet retail park drive attendant know al carte mean asked wrap day quoted wrong wrap day charged full price disappointing,Negative
